HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.VIDEO_ID,Input.CLIP,Answer.anger,Answer.disgust,Answer.fear,Answer.gender,Answer.happiness,Answer.sadness,Answer.secret_word1,Answer.secret_word2,Answer.secret_word3,Answer.sentiment,Answer.surprise,Answer.video_load,Approve,Reject
3RHLQY6EDTGL148LCAGFSY3UOY8D44,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:33:32 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:33:32 PDT 2017,,,3V26SBZTBEQ7UMY0FN0415UQWFMZZ1,A1P3Z24Y6GRNVA,Submitted,Sat Oct 28 20:16:46 PDT 2017,Sat Oct 28 20:17:07 PDT 2017,Tue Oct 31 20:17:07 PDT 2017,,,,21,0% (0/0),0% (0/0),0% (0/0),0AA-wmk8WdA,1,0,0,0,0,3,0,{},{},{},-2,0,0,,
38B7Q9C28GHND1ZIJI4S304IT4Z964,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:33:39 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:33:39 PDT 2017,,,35GCEFQ6I6069TR7UG5VX4PBHKOZ35,A1P3Z24Y6GRNVA,Submitted,Sat Oct 28 20:20:33 PDT 2017,Sat Oct 28 20:21:00 PDT 2017,Tue Oct 31 20:21:00 PDT 2017,,,,27,0% (0/0),0% (0/0),0% (0/0),rC29Qub0U7A,10,0,0,0,0,3,0,{},{},{},-2,0,0,,
3421H3BM9ATZ1WEP31YHC49NFAL9JC,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:35:24 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:35:24 PDT 2017,,,3VA45EW49OZY0MZL53GVTD3AZ0JO1K,A2TBXASXZIRNNW,Submitted,Sun Oct 29 11:39:17 PDT 2017,Sun Oct 29 11:39:54 PDT 2017,Wed Nov 01 11:39:54 PDT 2017,,,,37,100% (1587/1587),100% (1509/1509),100% (1509/1509),-THoVjtIkeU,10,0,0,0,0,3,0,{},{},{},-2,0,0,,
3511RHPADVQB0MYB03AGJ4M9PLTLRA,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:32:57 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:32:57 PDT 2017,,,37UEWGM5HUK1XZR1XVXZN88FAH31RU,A2TBXASXZIRNNW,Submitted,Sat Oct 28 15:55:43 PDT 2017,Sat Oct 28 15:56:03 PDT 2017,Tue Oct 31 15:56:03 PDT 2017,,,,20,100% (1587/1587),100% (1509/1509),100% (1509/1509),IawsOlEKRf0,11,0,0,0,0,3,0,{},{},{},-1,0,0,,
3JUDR1D0D635NZX3DI3BZIDVNZ0Q2P,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:32:55 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:32:55 PDT 2017,,,3T3IWE1XG7Z2UIOAMZS9OOH56EVTQX,A2TBXASXZIRNNW,Submitted,Sat Oct 28 16:14:22 PDT 2017,Sat Oct 28 16:15:00 PDT 2017,Tue Oct 31 16:15:00 PDT 2017,,,,38,100% (1587/1587),100% (1509/1509),100% (1509/1509),YcJ5RJYUr7Y,44,0,0,0,0,3,0,{},{},{},-1,0,0,,
3NQUW096N6K5WM2P6MAUSJMFJZQ9LE,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:34:53 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:34:53 PDT 2017,,,33M4IA01QHD9N0CU4OI6IHCGF18RXC,A1P3Z24Y6GRNVA,Submitted,Sun Oct 29 07:57:10 PDT 2017,Sun Oct 29 07:57:31 PDT 2017,Wed Nov 01 07:57:31 PDT 2017,,,,21,0% (0/0),0% (0/0),0% (0/0),YITXOmhQhYE,2,0,0,0,0,2,0,{},{},{},-3,0,0,,
3FSEU3P2NRCM3KTO5N7C5GV8VDIRR6,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:33:13 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:33:13 PDT 2017,,,351SEKWQS1T4SEUL8GLD2BFETSGMDS,A1AZAC9CPBEP6K,Submitted,Sat Oct 28 16:42:12 PDT 2017,Sat Oct 28 16:42:32 PDT 2017,Tue Oct 31 16:42:32 PDT 2017,,,,20,100% (1215/1215),100% (1214/1214),100% (726/726),szic2IB9HB4,8,0,0,0,0,2,0,morsel,healer,district,-2,0,0,,
3DGDV62G7OLKNNWOD5OMZDNLI3F2PB,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:33:23 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:33:23 PDT 2017,,,3JRJSWSMQIX8YY0BYTRICUOTTDJ3E5,A1AZAC9CPBEP6K,Submitted,Sat Oct 28 18:14:45 PDT 2017,Sat Oct 28 18:15:11 PDT 2017,Tue Oct 31 18:15:11 PDT 2017,,,,26,100% (1215/1215),100% (1214/1214),100% (726/726),MZoLQD83R-4,5,0,0,0,0,2,0,morsel,healer,district,-2,0,0,,
3ATYLI1PRTE28JIV5QHZ9U4CA95JOY,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:33:45 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:33:45 PDT 2017,,,3KIBXJ1WD6606NL7DDMDYSZ982FOKB,A34M93NJC830DP,Submitted,Sat Oct 28 20:51:17 PDT 2017,Sat Oct 28 20:54:02 PDT 2017,Tue Oct 31 20:54:02 PDT 2017,,,,165,100% (1065/1065),100% (1065/1065),100% (643/643),vGkIaClHKDg,18,0,0,0,0,2,0,{},{},{},-2,0,0,,
36GJS3V78V2EG61XH74R4LVAJNEGJ8,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:33:44 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:33:44 PDT 2017,,,34BBWHLWHBNH514L4WSB26XIJ0UIWB,A1AZAC9CPBEP6K,Submitted,Sat Oct 28 21:08:48 PDT 2017,Sat Oct 28 21:09:10 PDT 2017,Tue Oct 31 21:09:10 PDT 2017,,,,22,100% (1215/1215),100% (1214/1214),100% (726/726),sC1NvtirijU,10,0,0,0,0,2,0,morsel,healer,district,-2,0,0,,
