HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.VIDEO_ID,Input.CLIP,Answer.anger,Answer.disgust,Answer.fear,Answer.gender,Answer.happiness,Answer.sadness,Answer.secret_word1,Answer.secret_word2,Answer.secret_word3,Answer.sentiment,Answer.surprise,Answer.video_load,Approve,Reject
3YGYP13641L1OM1WCGQVWWQYUGTRNI,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:33:12 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:33:12 PDT 2017,,,3WQQ9FUS6B6WSSUX0JKO23QJ62NB8U,A2TBXASXZIRNNW,Submitted,Sat Oct 28 17:11:17 PDT 2017,Sat Oct 28 17:11:50 PDT 2017,Tue Oct 31 17:11:50 PDT 2017,,,,33,100% (1587/1587),100% (1509/1509),100% (1509/1509),-qDkUB0GgYY,5,2,0,0,0,2,0,{},{},{},3,0,0,,
3EKTG13IZUFK36LJVVEZX5SZJYUMLN,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:33:09 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:33:09 PDT 2017,,,39LOEL67OTHRPXQKLQ5IKKS7I9U83I,A2TBXASXZIRNNW,Submitted,Sat Oct 28 15:58:53 PDT 2017,Sat Oct 28 16:00:32 PDT 2017,Tue Oct 31 16:00:32 PDT 2017,,,,99,100% (1587/1587),100% (1509/1509),100% (1509/1509),mSWwz7dXUP8,6,0,0,0,0,3,0,{},{},{},3,0,0,,
3VGZ74AYTGSR8SVR7FN5HHIFT34GCT,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:32:54 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:32:54 PDT 2017,,,3PS7W85Z80EW2J7O5XHN2TRGWF7T9T,A2TBXASXZIRNNW,Submitted,Sat Oct 28 17:24:40 PDT 2017,Sat Oct 28 17:25:12 PDT 2017,Tue Oct 31 17:25:12 PDT 2017,,,,32,100% (1587/1587),100% (1509/1509),100% (1509/1509),GAY5ICoVnA8,13,0,0,0,0,1,2,{},{},{},3,0,0,,
39O0SQZVJNJCL199W9960Z48U1P7RO,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:33:24 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:33:24 PDT 2017,,,3ERMJ6L4DZ4OB5TBH3IR2J5I7HQ7MX,A2TBXASXZIRNNW,Submitted,Sat Oct 28 17:41:00 PDT 2017,Sat Oct 28 17:41:31 PDT 2017,Tue Oct 31 17:41:31 PDT 2017,,,,31,100% (1587/1587),100% (1509/1509),100% (1509/1509),UXvMaHD9kmA,24,0,0,0,0,3,0,{},{},{},3,0,0,,
3LN50BUKPVNQO9IWNB6RE9MUO35LPI,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:32:56 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:32:56 PDT 2017,,,3LPW2N6LKUES19K12CUGV98GTXX5U7,A2TBXASXZIRNNW,Submitted,Sat Oct 28 17:35:36 PDT 2017,Sat Oct 28 17:36:12 PDT 2017,Tue Oct 31 17:36:12 PDT 2017,,,,36,100% (1587/1587),100% (1509/1509),100% (1509/1509),hfvmQuhqMmY,4,0,0,0,0,3,0,{},{},{},3,2,0,,
3PUOXASB57FP1BJTLN130YXDY8W9ZV,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:33:23 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:33:23 PDT 2017,,,3HOSI13XH001OKO8VNMAJLSKKFQDD5,A2WNW8A4MOR7T7,Submitted,Sat Oct 28 19:28:41 PDT 2017,Sat Oct 28 19:29:06 PDT 2017,Tue Oct 31 19:29:06 PDT 2017,,,,25,100% (123/123),100% (123/123),100% (123/123),CuF-UOcAFG8,2,0,0,0,0,3,0,{},{},{},3,0,0,,
3PUOXASB57FP1BJTLN130YXDY8W9ZV,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:33:23 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:33:23 PDT 2017,,,3SNLUL3WO5Z63YNMUZANCY4DFOOULD,A1A1A9UHNQCI9Y,Submitted,Sat Oct 28 19:33:51 PDT 2017,Sat Oct 28 19:34:23 PDT 2017,Tue Oct 31 19:34:23 PDT 2017,,,,32,0% (0/0),0% (0/0),0% (0/0),CuF-UOcAFG8,2,0,0,0,0,3,0,{},{},{},3,0,0,,
3W0XM68YZP7CNBHCH9J0YDRHWNV1KS,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:33:09 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:33:09 PDT 2017,,,373ERPL3YPK26J3AZEH9TERA21CTRF,A2TBXASXZIRNNW,Submitted,Sat Oct 28 17:19:23 PDT 2017,Sat Oct 28 17:19:47 PDT 2017,Tue Oct 31 17:19:47 PDT 2017,,,,24,100% (1587/1587),100% (1509/1509),100% (1509/1509),U8VYG_g6yVE,9,0,0,0,0,3,0,{},{},{},3,0,0,,
3W0XM68YZP7CNBHCH9J0YDRHWNV1KS,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:33:09 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:33:09 PDT 2017,,,39ASUFLU6YJKEW7PIIY6JADX07WEXQ,A2ZOHK5SZ2FH17,Submitted,Sat Oct 28 16:14:59 PDT 2017,Sat Oct 28 16:15:31 PDT 2017,Tue Oct 31 16:15:31 PDT 2017,,,,32,0% (0/0),0% (0/0),0% (0/0),U8VYG_g6yVE,9,0,0,0,0,3,0,{},{},{},3,0,0,,
3SD15I2WD261YZA2293ICN1WTCP36H,310F0WGLWJM86SJMYKLR3YFKF1FLT9,MOSI2 Video Annotation,Watch a short video clip and answer a single sentiment question,sentiment,$0.10,Sat Oct 28 15:33:29 PDT 2017,3,BatchId:2988081;OriginalHitTemplateId:926051491;,900,259200,Sat Nov 04 15:33:29 PDT 2017,,,31JLPPHS2V6UAPD0S7UEH6I7XGH3O3,A2TBXASXZIRNNW,Submitted,Sat Oct 28 20:01:24 PDT 2017,Sat Oct 28 20:02:00 PDT 2017,Tue Oct 31 20:02:00 PDT 2017,,,,36,100% (1587/1587),100% (1509/1509),100% (1509/1509),E1r0FrFyNTw,2,0,0,0,0,1,2,{},{},{},3,0,0,,
